Country,Province,District,Division,Location,Area,Sublocation,Longitude,Latitude
KENYA,RIFT VALLEY,TURKANA,KIBISH,KIBISH,683.4821,KIBISH,35.6655998,5.3400102
KENYA,RIFT VALLEY,TURKANA,KIBISH,NAITA,1642.6463,NAITA,35.4126015,5.2449098
KENYA,RIFT VALLEY,TURKANA,KIBISH,NATAPAL,878.5184,NATAPAL,35.2271996,5.1128302
KENYA,RIFT VALLEY,TURKANA,KIBISH,KIBISH,702.8936,LOKAMARINYANG,35.7212982,5.0594501
KENYA,RIFT VALLEY,TURKANA,KIBISH,NATAPAL,749.4549,KARACHI I,35.1010017,4.99511
KENYA,RIFT VALLEY,TURKANA,KAALING,LORUTH,725.0556,KARACHI II,34.9926987,4.8501301
KENYA,RIFT VALLEY,TURKANA,LOKICHOGGIO,LORAU,1578.4282,LOTIKIPI,34.8102989,4.6823001
KENYA,RIFT VALLEY,TURKANA,LOKICHOGGIO,NANAM,1207.3897,LOMEYAN(LOKI),34.6038017,4.5518198
KENYA,RIFT VALLEY,TURKANA,LAPUR,KOKURO,530.2191,TODONYANG,35.8562012,4.4995699
KENYA,EASTERN,MARSABIT,NORTH HORR,ILLERET,3657.3166,ILLERET,36.4252014,4.1132102
KENYA,EASTERN,MARSABIT,NORTH HORR,DUKANA,3073.047,SABARET,36.8847008,4.1584702
KENYA,RIFT VALLEY,TURKANA,LOKICHOGGIO,LOKICHOGGIO,486.5149,LOKICHOGGIO,34.1599007,4.22576
KENYA,NORTH EASTERN,MANDERA,MALKAMARI,MALKAMARI,389.2791,MALKAMARI,40.6072006,4.1626201
KENYA,EASTERN,MARSABIT,NORTH HORR,DUKANA,1721.6098,DUKANA,37.2613983,3.98208
KENYA,NORTH EASTERN,MANDERA,MALKAMARI,HULLOW,501.869,HULLOW,40.7272987,4.1286201
KENYA,RIFT VALLEY,TURKANA,LOKICHOGGIO,LOTETELEITIT,376.8808,LOTETELEITIT,34.1557007,4.0909801
KENYA,NORTH EASTERN,MANDERA,MALKAMARI,MALKARUKA,441.8376,MALKARUKA,40.7411003,4.0157099
KENYA,NORTH EASTERN,MANDERA,BANISA,LULIS,180.418,LULIS,40.342701,4.0503802
KENYA,NORTH EASTERN,MANDERA,RHAMU DIMTU,GERSEY,513.3199,GERSEY,40.9295998,4.00492
KENYA,EASTERN,MARSABIT,NORTH HORR,BALESA RIRIBA,1125.1325,EL-HADI,37.6066017,3.8401501
KENYA,RIFT VALLEY,TURKANA,OROPOI,KALOBEYEI,989.0069,SONGOT(OROPOI),34.3742981,3.9450099
KENYA,NORTH EASTERN,MANDERA,BANISA,EYMOLE,129.3355,EYMOLE,40.2134018,4.00177
KENYA,NORTH EASTERN,MANDERA,BANISA,KILIWAHERI,88.4437,KILIWAHERI,40.0578995,3.93205
KENYA,NORTH EASTERN,MANDERA,RHAMU DIMTU,RHAMU DIMTU,151.8576,RHAMU DIMTU,41.009201,3.9251399
KENYA,NORTH EASTERN,MANDERA,KHALALIO,BUR ABOR,10.5375,SHARIF,41.7131996,3.9644899
KENYA,NORTH EASTERN,MANDERA,KHALALIO,BUR ABOR,9.0377,BUR ABOR,41.728199,3.9653201
KENYA,NORTH EASTERN,MANDERA,KHALALIO,BULLA HAJI,2.8949,BULLA HAJI,41.7438011,3.9805901
KENYA,NORTH EASTERN,MANDERA,HARERI,ARESA,65.3723,ARESA,41.5363007,3.91799
KENYA,NORTH EASTERN,MANDERA,KHALALIO,KHALALIO,9.3436,LEMANDID,41.6212006,3.97105
KENYA,NORTH EASTERN,MANDERA,KHALALIO,BELLA,25.3094,BELLA,41.6898994,3.9371099
KENYA,NORTH EASTERN,MANDERA,CENTRAL,NEBOI,17.263,NEBOI,41.7961006,3.95766
KENYA,NORTH EASTERN,MANDERA,RHAMU DIMTU,MADO,33.2455,MADO,41.0749016,3.9136901
KENYA,NORTH EASTERN,MANDERA,CENTRAL,BORDER POINT ONE,8.8728,BORDER POINT ONE,41.8865013,3.96439
KENYA,NORTH EASTERN,MANDERA,KHALALIO,GEDUDIYA,24.4875,GEDUDIYA,41.5680008,3.9187701
KENYA,NORTH EASTERN,MANDERA,HARERI,HARERI,129.6837,HARERI,41.4670982,3.9077599
KENYA,NORTH EASTERN,MANDERA,KHALALIO,GINGO,35.7994,DARIKA,41.6458015,3.91187
